,Date,Time,Race,Gender,Body_Size,Age_Range,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,City,State,Postcode,Temperature,humidity,windspeed,conditions,Formatted_Date,Datetime,isRain,DayOfWeek,HourInDay
0,19/10/2015,20:17:50,malay,male,moderate,28.0,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0,Sepang,Selangor,62200,29.0,77.17,4.2,Overcast,2015-10-19,2015-10-19 20:17:50,False,0,20
1,20/10/2015,13:44:03,chinese,female,moderate,42.0,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22.0,2.0,13.0,2.947776713,101.6978995,3.0,Putrajaya,Putrajaya,62514,30.0,74.63,8.3,Overcast,2015-10-20,2015-10-20 13:44:03,False,1,13
2,20/10/2015,18:37:46,chinese,female,thin,35.0,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31.0,3.0,9.0,2.938365035,101.7021395,2.0,Putrajaya,Putrajaya,62519,29.4,82.08,4.3,Overcast,2015-10-20,2015-10-20 18:37:46,False,1,18
3,20/10/2015,18:57:46,malay,female,fat,31.0,no_kids,big,red,traditional,green,long_sleeve,green,long,clothes,4,9,yes,51.0,4.0,18.0,2.909508314,101.7448743,2.0,Sepang,Selangor,63450,29.2,82.75,4.0,Overcast,2015-10-20,2015-10-20 18:57:46,False,1,18
4,20/10/2015,22:12:39,chinese,female,thin,39.0,no_kids,big,blue,casual,blue,long_sleeve,yellow,short,clothes,6,7,no,15.0,2.0,13.0,2.94670685,101.727935,3.0,Putrajaya,Putrajaya,62050,28.0,85.69,4.0,Overcast,2015-10-20,2015-10-20 22:12:39,False,1,22
5,20/10/2015,22:24:54,indian,male,fat,43.0,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,0.0,11.0,2.903208575,101.6367534,3.0,Sepang,Selangor,63000,28.0,85.49,4.2,Overcast,2015-10-20,2015-10-20 22:24:54,False,1,22
6,20/10/2015,22:37:12,malay,female,thin,50.0,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,0.0,14.0,2.920738346,101.7324981,1.0,Sepang,Selangor,63450,28.0,85.2,4.4,Overcast,2015-10-20,2015-10-20 22:37:12,False,1,22
7,20/10/2015,23:08:44,indian,male,moderate,49.0,no_kids,small,white,formal,blue,long_sleeve,black,long,clothes,6,10,yes,38.0,3.0,21.0,2.929765556,101.685258,2.0,Putrajaya,Putrajaya,62250,27.0,88.31,1.8,Overcast,2015-10-20,2015-10-20 23:08:44,False,1,23
8,20/10/2015,0:04:56,malay,female,moderate,45.0,no_kids,big,pink,formal,red,long_sleeve,black,long,blankets,3,7,no,26.0,2.0,16.0,2.919387484,101.6704071,2.0,Sepang,Selangor,62100,27.0,85.44,5.0,Overcast,2015-10-20,2015-10-20 00:04:56,False,1,0
9,21/10/2015,12:32:17,malay,female,thin,31.0,no_kids,big,red,casual,blue,long_sleeve,black,long,clothes,5,10,no,27.0,1.0,7.0,2.92845186,101.6737553,2.0,Putrajaya,Putrajaya,62250,31.0,66.38,9.4,Overcast,2015-10-21,2015-10-21 12:32:17,False,2,12
