Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,City,State,Postcode,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Formatted_Date,Datetime
19/10/2015,20:17:50,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0,Sepang,Selangor,62200,29.0,34.0,24.5,77.17,0.0,0,,0.0,0.0,,4.2,191.0,1010.1,91.2,3.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 20:17:50
19/10/2015,20:28:42,,male,thin,32.0,no,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,,6,9,no,19.0,4.0,21.0,2.922506027,101.6431294,3.0,Sepang,Selangor,63000,29.0,34.0,24.5,76.93,0.0,0,,0.0,0.0,,3.9,201.0,1010.2,91.8,3.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 20:28:42
19/10/2015,20:58:31,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no,18.0,2.0,13.0,2.93553339,101.7371698,1.0,Sepang,Selangor,63450,29.0,34.0,24.6,77.22,0.0,0,,0.0,0.0,,4.2,189.0,1010.1,91.1,3.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 20:58:31
19/10/2015,21:31:28,indian,male,thin,51.0,no,no_kids,,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,2.0,16.0,2.949923904,101.637069,1.0,Sepang,Selangor,47120,28.0,32.3,24.5,81.51,0.0,0,,0.0,0.0,,6.6,24.0,,93.1,2.9,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 21:31:28
19/10/2015,21:40:28,indian,male,,34.0,no,no_kids,big,blue,casual,blue,,white,long,clothes,3,9,,15.0,1.0,13.0,2.903529733,101.6612493,3.0,Sepang,Selangor,62200,28.0,32.2,24.3,80.35,0.0,0,,0.0,0.0,,6.0,62.0,,90.9,3.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 21:40:28
19/10/2015,23:45:38,,male,fat,50.0,no,no_kids,,,casual,brown,,blue_jeans,long,clothes,4,8,no,35.0,5.0,16.0,2.928514231,101.72064,3.0,Sepang,Selangor,62000,27.6,31.4,24.4,82.86,0.0,0,,0.0,0.0,,2.4,69.0,1011.5,91.1,2.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 23:45:38
19/10/2015,23:53:38,,female,fat,45.0,no,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no,30.0,3.0,17.0,2.970783341,101.6744587,2.0,Putrajaya,Putrajaya,62300,27.4,31.2,24.6,84.48,0.0,0,,0.0,0.0,,2.8,31.0,1011.6,93.2,1.9,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-19,2015-10-19 23:53:38
20/10/2015,0:24:01,indian,male,thin,49.0,,,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,,46.0,0.0,16.0,2.951176457,101.7465264,3.0,Sepang,Selangor,43650,27.0,30.3,24.4,85.58,0.0,0,,0.0,0.0,,5.1,297.0,,91.5,2.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 00:24:01
20/10/2015,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,,short_sleeve,black,short,,6,10,no,60.0,4.0,17.0,2.955301618,101.7039608,2.0,Putrajaya,Putrajaya,62502,27.0,30.3,24.4,85.93,0.0,0,,0.0,0.0,,5.4,299.0,,92.1,2.1,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 00:45:19
20/10/2015,1:17:50,chinese,,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no,23.0,0.0,10.0,2.9086064,101.6668225,3.0,Sepang,Selangor,62100,26.7,29.9,25.0,90.47,0.0,0,,0.0,0.0,,2.9,341.0,,91.0,2.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 01:17:50
